vlgiitr NTM reference — associative recall
Config: N=128, M=20, controller=100, heads=1
Task: seq_width=6, seq_len=3, items=[2,6)
Training: 100000 iters, RMSprop lr=0.0001 alpha=0.95 momentum=0.9, clip=10
Seed: 42

Model parameters: 67,538

/Users/admin/code/idris-ml/bench/reference/vlgiitr/ntm/modules/head.py:71: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  s = F.softmax(self.shift_weighting_fc(controller_state))
iter  36500: loss=0.2631  bit_error=1.82  (61.5 it/s, 594s elapsed)
iter  37000: loss=0.0295  bit_error=0.13  (61.4 it/s, 602s elapsed)
iter  37500: loss=0.0084  bit_error=0.04  (61.4 it/s, 610s elapsed)
iter  38000: loss=0.0401  bit_error=0.07  (61.4 it/s, 618s elapsed)
iter  38500: loss=0.0456  bit_error=0.09  (61.4 it/s, 627s elapsed)
iter  39000: loss=0.0000  bit_error=0.00  (61.5 it/s, 634s elapsed)
iter  39500: loss=0.0282  bit_error=0.05  (61.5 it/s, 643s elapsed)
iter  40000: loss=0.0264  bit_error=0.06  (61.5 it/s, 651s elapsed)
iter  40500: loss=0.0570  bit_error=0.07  (61.5 it/s, 659s elapsed)
iter  41000: loss=0.0479  bit_error=0.06  (61.5 it/s, 667s elapsed)
iter  41500: loss=0.0257  bit_error=0.09  (61.5 it/s, 675s elapsed)
iter  42000: loss=0.0275  bit_error=0.04  (61.5 it/s, 683s elapsed)
iter  42500: loss=0.0025  bit_error=0.02  (61.5 it/s, 691s elapsed)
iter  43000: loss=0.0172  bit_error=0.05  (61.5 it/s, 699s elapsed)
iter  43500: loss=0.0000  bit_error=0.00  (61.5 it/s, 707s elapsed)
iter  44000: loss=0.0699  bit_error=0.09  (61.4 it/s, 716s elapsed)
iter  44500: loss=0.0761  bit_error=0.07  (61.4 it/s, 724s elapsed)
iter  45000: loss=0.0153  bit_error=0.02  (61.4 it/s, 733s elapsed)
iter  45500: loss=0.0000  bit_error=0.00  (61.4 it/s, 741s elapsed)
iter  46000: loss=0.0631  bit_error=0.03  (61.4 it/s, 749s elapsed)
iter  46500: loss=0.1209  bit_error=0.08  (61.4 it/s, 757s elapsed)
iter  47000: loss=0.0001  bit_error=0.00  (61.4 it/s, 765s elapsed)
iter  47500: loss=0.0925  bit_error=0.07  (61.4 it/s, 773s elapsed)
iter  48000: loss=0.0151  bit_error=0.06  (61.4 it/s, 781s elapsed)
iter  48500: loss=0.0078  bit_error=0.02  (61.4 it/s, 789s elapsed)
iter  49000: loss=0.0238  bit_error=0.05  (61.4 it/s, 798s elapsed)
iter  49500: loss=0.0000  bit_error=0.00  (61.4 it/s, 806s elapsed)
iter  50000: loss=0.0001  bit_error=0.00  (61.4 it/s, 814s elapsed)
iter  50500: loss=0.0903  bit_error=0.06  (61.4 it/s, 822s elapsed)
iter  51000: loss=0.2439  bit_error=0.12  (61.4 it/s, 830s elapsed)
iter  51500: loss=0.0866  bit_error=0.13  (61.4 it/s, 838s elapsed)
iter  52000: loss=0.0009  bit_error=0.01  (61.4 it/s, 846s elapsed)
iter  52500: loss=0.0057  bit_error=0.02  (61.4 it/s, 855s elapsed)
iter  53000: loss=0.0021  bit_error=0.01  (61.4 it/s, 863s elapsed)
iter  53500: loss=0.0174  bit_error=0.03  (61.4 it/s, 871s elapsed)
