example-dqn	1	pass	3m58s	avg_return=162.0	epochs=300	seed=1
example-dqn	2	pass	3m47s	avg_return=137.0	epochs=300	seed=2
example-dqn	3	pass	3m44s	avg_return=101.0	epochs=300	seed=3
example-dqn	4	pass	3m47s	avg_return=161.0	epochs=300	seed=4
example-mountain-car	42	pass	16m25s	avg_return=-120.0	epochs=1000	seed=42
example-mountain-car	1	pass	17m18s	avg_return=-110.0	epochs=1000	seed=1
example-mountain-car	2	pass	17m52s	avg_return=-149.0	epochs=1000	seed=2
example-mountain-car	3	pass	16m8s	avg_return=-110.0	epochs=1000	seed=3
example-mountain-car	4	pass	17m30s	avg_return=-107.0	epochs=1000	seed=4
example-mountain-car-cont	42	pass	2m40s	avg_return=95.32677662540071	epochs=8900	seed=42
example-mountain-car-cont	1	pass	1m22s	avg_return=93.64913885819627	epochs=5200	seed=1
example-mountain-car-cont	2	pass	2m57s	avg_return=97.15740474359997	epochs=10000	seed=2
example-mountain-car-cont	3	pass	3m13s	avg_return=94.34136130767637	epochs=10700	seed=3
example-mountain-car-cont	4	pass	1m27s	avg_return=93.10948901864886	epochs=5400	seed=4
example-a2c	42	pass	41s	avg_return=200.0	epochs=5000	seed=42
example-a2c	1	pass	39s	avg_return=200.0	epochs=5000	seed=1
example-a2c	2	pass	39s	avg_return=200.0	epochs=5000	seed=2
example-a2c	3	fail	39s	avg_return=107.0	epochs=5000	seed=3
example-a2c	4	pass	39s	avg_return=200.0	epochs=5000	seed=4
example-ppo	42	pass	1m24s	avg_return=-77.0	epochs=100	seed=42
example-ppo	1	pass	1m23s	avg_return=-77.0	epochs=100	seed=1
example-ppo	2	pass	1m22s	avg_return=-72.0	epochs=100	seed=2
example-ppo	3	pass	1m22s	avg_return=-76.0	epochs=100	seed=3
example-ppo	4	pass	1m22s	avg_return=-78.0	epochs=100	seed=4
example-sac	42	pass	9m35s	avg_return=-373.9448771377874	epochs=22700	seed=42
example-sac	1	pass	10m17s	avg_return=-372.49462337932613	epochs=24300	seed=1
example-sac	2	pass	3h23m	avg_return=-367.211695985844	epochs=27500	seed=2
example-sac	3	pass	3h27m	avg_return=-374.27824928532544	epochs=25700	seed=3
example-sac	4	pass	11m38s	avg_return=-374.9960817014508	epochs=25200	seed=4
example-ntm-associative-recall	42	pass	1m17s	epochs=11500	acc=0.9938888888888889	seq_acc=0.98	seed=42
example-ntm-associative-recall	1	fail	3m2s	epochs=30000	acc=0.7238888888888889	seq_acc=0.09	seed=1
example-ntm-associative-recall	2	pass	1m17s	epochs=11800	acc=0.9566666666666667	seq_acc=0.91	seed=2
example-ntm-associative-recall	3	pass	1m4s	epochs=10000	acc=0.9305555555555556	seq_acc=0.71	seed=3
example-ntm-associative-recall	4	pass	1m22s	epochs=13200	acc=0.9833333333333333	seq_acc=0.96	seed=4
example-dnc-copy	42	pass	20s	epochs=3000	acc=0.9995652173913043	seq_acc=0.98	seed=42
example-dnc-copy	1	pass	19s	epochs=2800	acc=0.9914510166358595	seq_acc=0.96	seed=1
example-dnc-copy	2	pass	17s	epochs=4000	acc=0.9977396021699819	seq_acc=0.91	seed=2
example-dnc-copy	3	pass	15s	epochs=3100	acc=0.9986933797909407	seq_acc=0.99	seed=3
example-dnc-copy	4	pass	13s	epochs=2700	acc=0.9995361781076066	seq_acc=0.98	seed=4
